"RunDirectory","SourcePath","DestinationPath","SizeBytes","SizeMiB","SHA256","SourceStillPresent","DestinationVerified"
"log-20260606-122434-MaGaLiveMagaRuntimeStudy","tmp\mosaic-25.2\logs\log-20260606-122434-MaGaLiveMagaRuntimeStudy\live-maga-runtime\live_published_snapshot_manifest.csv","tmp\archive\freeze-local-evidence-20260609\mosaic-log-lightweight-evidence\log-20260606-122434-MaGaLiveMagaRuntimeStudy\live-maga-runtime\live_published_snapshot_manifest.csv","11819","0,011","580DDD5BB599D5BDBD4DF81037332F6D9BEBC8C09C9AED944791D8B97A33C997","True","True"
"log-20260606-122434-MaGaLiveMagaRuntimeStudy","tmp\mosaic-25.2\logs\log-20260606-122434-MaGaLiveMagaRuntimeStudy\live-maga-runtime\live_run_summary.json","tmp\archive\freeze-local-evidence-20260609\mosaic-log-lightweight-evidence\log-20260606-122434-MaGaLiveMagaRuntimeStudy\live-maga-runtime\live_run_summary.json","1826","0,002","7D0141CDC0F840CE85CCE506AD189069832FE793645C50F3BB9C518F93DC2F01","True","True"
"log-20260606-122434-MaGaLiveMagaRuntimeStudy","tmp\mosaic-25.2\logs\log-20260606-122434-MaGaLiveMagaRuntimeStudy\live-maga-runtime\live_run_summary.md","tmp\archive\freeze-local-evidence-20260609\mosaic-log-lightweight-evidence\log-20260606-122434-MaGaLiveMagaRuntimeStudy\live-maga-runtime\live_run_summary.md","2025","0,002","2503F40D6BEEA53E5B27C35EB961A46D3F09283C64C2BCBBB8F55DC7A32CF10F","True","True"
"log-20260606-122513-MaGaLiveMagaRuntimeStudy","tmp\mosaic-25.2\logs\log-20260606-122513-MaGaLiveMagaRuntimeStudy\live-maga-runtime\live_published_snapshot_manifest.csv","tmp\archive\freeze-local-evidence-20260609\mosaic-log-lightweight-evidence\log-20260606-122513-MaGaLiveMagaRuntimeStudy\live-maga-runtime\live_published_snapshot_manifest.csv","11819","0,011","580DDD5BB599D5BDBD4DF81037332F6D9BEBC8C09C9AED944791D8B97A33C997","True","True"
"log-20260606-122513-MaGaLiveMagaRuntimeStudy","tmp\mosaic-25.2\logs\log-20260606-122513-MaGaLiveMagaRuntimeStudy\live-maga-runtime\live_run_summary.json","tmp\archive\freeze-local-evidence-20260609\mosaic-log-lightweight-evidence\log-20260606-122513-MaGaLiveMagaRuntimeStudy\live-maga-runtime\live_run_summary.json","1826","0,002","000EBBD38C0B533F64B925835251AA10BD5D44BB16237DDBECE9F759F48EB8DC","True","True"
"log-20260606-122513-MaGaLiveMagaRuntimeStudy","tmp\mosaic-25.2\logs\log-20260606-122513-MaGaLiveMagaRuntimeStudy\live-maga-runtime\live_run_summary.md","tmp\archive\freeze-local-evidence-20260609\mosaic-log-lightweight-evidence\log-20260606-122513-MaGaLiveMagaRuntimeStudy\live-maga-runtime\live_run_summary.md","2025","0,002","2503F40D6BEEA53E5B27C35EB961A46D3F09283C64C2BCBBB8F55DC7A32CF10F","True","True"
"log-20260606-122530-MaGaLiveMagaRuntimeStudy","tmp\mosaic-25.2\logs\log-20260606-122530-MaGaLiveMagaRuntimeStudy\live-maga-runtime\live_published_snapshot_manifest.csv","tmp\archive\freeze-local-evidence-20260609\mosaic-log-lightweight-evidence\log-20260606-122530-MaGaLiveMagaRuntimeStudy\live-maga-runtime\live_published_snapshot_manifest.csv","12203","0,012","13360DEA94BA361CAEAC229A5662F9A83FAA5E8515A4D329AD3B88CD9C6684F0","True","True"
"log-20260606-122618-MaGaLiveMagaRuntimeStudy","tmp\mosaic-25.2\logs\log-20260606-122618-MaGaLiveMagaRuntimeStudy\live-maga-runtime\live_published_snapshot_manifest.csv","tmp\archive\freeze-local-evidence-20260609\mosaic-log-lightweight-evidence\log-20260606-122618-MaGaLiveMagaRuntimeStudy\live-maga-runtime\live_published_snapshot_manifest.csv","11819","0,011","580DDD5BB599D5BDBD4DF81037332F6D9BEBC8C09C9AED944791D8B97A33C997","True","True"
"log-20260606-122618-MaGaLiveMagaRuntimeStudy","tmp\mosaic-25.2\logs\log-20260606-122618-MaGaLiveMagaRuntimeStudy\live-maga-runtime\live_run_summary.json","tmp\archive\freeze-local-evidence-20260609\mosaic-log-lightweight-evidence\log-20260606-122618-MaGaLiveMagaRuntimeStudy\live-maga-runtime\live_run_summary.json","1826","0,002","31E9A6B3EAB5853944E5958E885C5AAB67F9162C1126805554D2542BEF8BC938","True","True"
"log-20260606-122618-MaGaLiveMagaRuntimeStudy","tmp\mosaic-25.2\logs\log-20260606-122618-MaGaLiveMagaRuntimeStudy\live-maga-runtime\live_run_summary.md","tmp\archive\freeze-local-evidence-20260609\mosaic-log-lightweight-evidence\log-20260606-122618-MaGaLiveMagaRuntimeStudy\live-maga-runtime\live_run_summary.md","2025","0,002","2503F40D6BEEA53E5B27C35EB961A46D3F09283C64C2BCBBB8F55DC7A32CF10F","True","True"
"log-20260606-232557-MaGaLiteratureBasedUrbanStudy","tmp\mosaic-25.2\logs\log-20260606-232557-MaGaLiteratureBasedUrbanStudy\live-maga-runtime\live_published_snapshot_manifest.csv","tmp\archive\freeze-local-evidence-20260609\mosaic-log-lightweight-evidence\log-20260606-232557-MaGaLiteratureBasedUrbanStudy\live-maga-runtime\live_published_snapshot_manifest.csv","0","0","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","True","True"
"log-20260606-232642-MaGaLiteratureBasedUrbanStudy","tmp\mosaic-25.2\logs\log-20260606-232642-MaGaLiteratureBasedUrbanStudy\live-maga-runtime\live_published_snapshot_manifest.csv","tmp\archive\freeze-local-evidence-20260609\mosaic-log-lightweight-evidence\log-20260606-232642-MaGaLiteratureBasedUrbanStudy\live-maga-runtime\live_published_snapshot_manifest.csv","48637","0,046","85FE73C2E2092A2F2A9361FBF443605AC38A55241B6138D0EE973AE821F4BB2F","True","True"
"log-20260606-234207-MaGaLiteratureBasedUrbanStudy","tmp\mosaic-25.2\logs\log-20260606-234207-MaGaLiteratureBasedUrbanStudy\live-maga-runtime\live_published_snapshot_manifest.csv","tmp\archive\freeze-local-evidence-20260609\mosaic-log-lightweight-evidence\log-20260606-234207-MaGaLiteratureBasedUrbanStudy\live-maga-runtime\live_published_snapshot_manifest.csv","48637","0,046","85FE73C2E2092A2F2A9361FBF443605AC38A55241B6138D0EE973AE821F4BB2F","True","True"
"log-20260607-000753-MaGaLiteratureBasedUrbanStudy","tmp\mosaic-25.2\logs\log-20260607-000753-MaGaLiteratureBasedUrbanStudy\live-maga-runtime\literature_smoke_validation.json","tmp\archive\freeze-local-evidence-20260609\mosaic-log-lightweight-evidence\log-20260607-000753-MaGaLiteratureBasedUrbanStudy\live-maga-runtime\literature_smoke_validation.json","3420","0,003","D5CE74295AD948C09E6BBE1D9AD2E1F72807ACB3C1E17514273DD00FB47FA1F5","True","True"
"log-20260607-000753-MaGaLiteratureBasedUrbanStudy","tmp\mosaic-25.2\logs\log-20260607-000753-MaGaLiteratureBasedUrbanStudy\live-maga-runtime\literature_smoke_validation.md","tmp\archive\freeze-local-evidence-20260609\mosaic-log-lightweight-evidence\log-20260607-000753-MaGaLiteratureBasedUrbanStudy\live-maga-runtime\literature_smoke_validation.md","1525","0,001","DCF721E8BD8723FB6297105C7519594E3892C917862C104E18377F42B57C7ADF","True","True"
"log-20260607-000753-MaGaLiteratureBasedUrbanStudy","tmp\mosaic-25.2\logs\log-20260607-000753-MaGaLiteratureBasedUrbanStudy\live-maga-runtime\live_published_snapshot_manifest.csv","tmp\archive\freeze-local-evidence-20260609\mosaic-log-lightweight-evidence\log-20260607-000753-MaGaLiteratureBasedUrbanStudy\live-maga-runtime\live_published_snapshot_manifest.csv","86525","0,083","0AD85FE81E7B2FC83AA4BC56B764B3E684262C5C21148AD073D1E61EE962D307","True","True"
"log-20260607-000753-MaGaLiteratureBasedUrbanStudy","tmp\mosaic-25.2\logs\log-20260607-000753-MaGaLiteratureBasedUrbanStudy\live-maga-runtime\live_run_summary.json","tmp\archive\freeze-local-evidence-20260609\mosaic-log-lightweight-evidence\log-20260607-000753-MaGaLiteratureBasedUrbanStudy\live-maga-runtime\live_run_summary.json","3570","0,003","AE16FC48A157DE06BF73FD2B3004379098CB5804F6A06A8F08441C1642ACDB9F","True","True"
"log-20260607-000753-MaGaLiteratureBasedUrbanStudy","tmp\mosaic-25.2\logs\log-20260607-000753-MaGaLiteratureBasedUrbanStudy\live-maga-runtime\live_run_summary.md","tmp\archive\freeze-local-evidence-20260609\mosaic-log-lightweight-evidence\log-20260607-000753-MaGaLiteratureBasedUrbanStudy\live-maga-runtime\live_run_summary.md","2772","0,003","B74560114DEC6D2CC9DE7E97312B38FEC1CD8BAAE4E4141C1CA37115B0D32414","True","True"
"log-20260607-001116-MaGaLiteratureBasedUrbanStudy","tmp\mosaic-25.2\logs\log-20260607-001116-MaGaLiteratureBasedUrbanStudy\live-maga-runtime\literature_smoke_validation.json","tmp\archive\freeze-local-evidence-20260609\mosaic-log-lightweight-evidence\log-20260607-001116-MaGaLiteratureBasedUrbanStudy\live-maga-runtime\literature_smoke_validation.json","3420","0,003","FD0DE7C48D7D633BAA678B3956EFF6ECF2BA984575780A72A2CE0B76139AFAD5","True","True"
"log-20260607-001116-MaGaLiteratureBasedUrbanStudy","tmp\mosaic-25.2\logs\log-20260607-001116-MaGaLiteratureBasedUrbanStudy\live-maga-runtime\literature_smoke_validation.md","tmp\archive\freeze-local-evidence-20260609\mosaic-log-lightweight-evidence\log-20260607-001116-MaGaLiteratureBasedUrbanStudy\live-maga-runtime\literature_smoke_validation.md","1525","0,001","766995208D006D3D616FAF8CB7C56C488DC37B5005D9E8AE1D473477DDCC4EF6","True","True"
"log-20260607-001116-MaGaLiteratureBasedUrbanStudy","tmp\mosaic-25.2\logs\log-20260607-001116-MaGaLiteratureBasedUrbanStudy\live-maga-runtime\live_published_snapshot_manifest.csv","tmp\archive\freeze-local-evidence-20260609\mosaic-log-lightweight-evidence\log-20260607-001116-MaGaLiteratureBasedUrbanStudy\live-maga-runtime\live_published_snapshot_manifest.csv","86525","0,083","0AD85FE81E7B2FC83AA4BC56B764B3E684262C5C21148AD073D1E61EE962D307","True","True"
"log-20260607-001116-MaGaLiteratureBasedUrbanStudy","tmp\mosaic-25.2\logs\log-20260607-001116-MaGaLiteratureBasedUrbanStudy\live-maga-runtime\live_run_summary.json","tmp\archive\freeze-local-evidence-20260609\mosaic-log-lightweight-evidence\log-20260607-001116-MaGaLiteratureBasedUrbanStudy\live-maga-runtime\live_run_summary.json","3570","0,003","E80CCC3E9AE80EFEFC6FBB2C35410584FA96D36EA297894B85DDCDF4FF7EE391","True","True"
"log-20260607-001116-MaGaLiteratureBasedUrbanStudy","tmp\mosaic-25.2\logs\log-20260607-001116-MaGaLiteratureBasedUrbanStudy\live-maga-runtime\live_run_summary.md","tmp\archive\freeze-local-evidence-20260609\mosaic-log-lightweight-evidence\log-20260607-001116-MaGaLiteratureBasedUrbanStudy\live-maga-runtime\live_run_summary.md","2772","0,003","B74560114DEC6D2CC9DE7E97312B38FEC1CD8BAAE4E4141C1CA37115B0D32414","True","True"
"log-20260607-001442-MaGaLiteratureBasedUrbanStudy","tmp\mosaic-25.2\logs\log-20260607-001442-MaGaLiteratureBasedUrbanStudy\live-maga-runtime\literature_smoke_validation.json","tmp\archive\freeze-local-evidence-20260609\mosaic-log-lightweight-evidence\log-20260607-001442-MaGaLiteratureBasedUrbanStudy\live-maga-runtime\literature_smoke_validation.json","3420","0,003","DD27D349979DAC4F7060BC34E4688A855D343303EC5D1A14E6F9026A22B251B1","True","True"
"log-20260607-001442-MaGaLiteratureBasedUrbanStudy","tmp\mosaic-25.2\logs\log-20260607-001442-MaGaLiteratureBasedUrbanStudy\live-maga-runtime\literature_smoke_validation.md","tmp\archive\freeze-local-evidence-20260609\mosaic-log-lightweight-evidence\log-20260607-001442-MaGaLiteratureBasedUrbanStudy\live-maga-runtime\literature_smoke_validation.md","1525","0,001","74DFF99215C54BAE21E8861E01A1614E1B8CAEA1A9859F4DAC3278110B2B800D","True","True"
"log-20260607-001442-MaGaLiteratureBasedUrbanStudy","tmp\mosaic-25.2\logs\log-20260607-001442-MaGaLiteratureBasedUrbanStudy\live-maga-runtime\live_published_snapshot_manifest.csv","tmp\archive\freeze-local-evidence-20260609\mosaic-log-lightweight-evidence\log-20260607-001442-MaGaLiteratureBasedUrbanStudy\live-maga-runtime\live_published_snapshot_manifest.csv","86525","0,083","0AD85FE81E7B2FC83AA4BC56B764B3E684262C5C21148AD073D1E61EE962D307","True","True"
"log-20260607-001442-MaGaLiteratureBasedUrbanStudy","tmp\mosaic-25.2\logs\log-20260607-001442-MaGaLiteratureBasedUrbanStudy\live-maga-runtime\live_run_summary.json","tmp\archive\freeze-local-evidence-20260609\mosaic-log-lightweight-evidence\log-20260607-001442-MaGaLiteratureBasedUrbanStudy\live-maga-runtime\live_run_summary.json","3570","0,003","C62E30A69E93F160EF868EEE1D06F928150939E9A242B409912402357B5FA1D2","True","True"
"log-20260607-001442-MaGaLiteratureBasedUrbanStudy","tmp\mosaic-25.2\logs\log-20260607-001442-MaGaLiteratureBasedUrbanStudy\live-maga-runtime\live_run_summary.md","tmp\archive\freeze-local-evidence-20260609\mosaic-log-lightweight-evidence\log-20260607-001442-MaGaLiteratureBasedUrbanStudy\live-maga-runtime\live_run_summary.md","2772","0,003","B74560114DEC6D2CC9DE7E97312B38FEC1CD8BAAE4E4141C1CA37115B0D32414","True","True"
"log-20260607-002130-MaGaLiteratureBasedUrbanStudy","tmp\mosaic-25.2\logs\log-20260607-002130-MaGaLiteratureBasedUrbanStudy\live-maga-runtime\literature_smoke_validation.json","tmp\archive\freeze-local-evidence-20260609\mosaic-log-lightweight-evidence\log-20260607-002130-MaGaLiteratureBasedUrbanStudy\live-maga-runtime\literature_smoke_validation.json","3420","0,003","F854F1358CDADFD8FCE3E73A14AE09F170C50A300EC3EDF3318EB7F059E37B7C","True","True"
"log-20260607-002130-MaGaLiteratureBasedUrbanStudy","tmp\mosaic-25.2\logs\log-20260607-002130-MaGaLiteratureBasedUrbanStudy\live-maga-runtime\literature_smoke_validation.md","tmp\archive\freeze-local-evidence-20260609\mosaic-log-lightweight-evidence\log-20260607-002130-MaGaLiteratureBasedUrbanStudy\live-maga-runtime\literature_smoke_validation.md","1525","0,001","8206C34BB1AFCE41B7E0FB3ADC5595F86F53D72C55960C6E84E2E536C4BDAA84","True","True"
"log-20260607-002130-MaGaLiteratureBasedUrbanStudy","tmp\mosaic-25.2\logs\log-20260607-002130-MaGaLiteratureBasedUrbanStudy\live-maga-runtime\live_published_snapshot_manifest.csv","tmp\archive\freeze-local-evidence-20260609\mosaic-log-lightweight-evidence\log-20260607-002130-MaGaLiteratureBasedUrbanStudy\live-maga-runtime\live_published_snapshot_manifest.csv","86525","0,083","0AD85FE81E7B2FC83AA4BC56B764B3E684262C5C21148AD073D1E61EE962D307","True","True"
"log-20260607-002130-MaGaLiteratureBasedUrbanStudy","tmp\mosaic-25.2\logs\log-20260607-002130-MaGaLiteratureBasedUrbanStudy\live-maga-runtime\live_run_summary.json","tmp\archive\freeze-local-evidence-20260609\mosaic-log-lightweight-evidence\log-20260607-002130-MaGaLiteratureBasedUrbanStudy\live-maga-runtime\live_run_summary.json","3570","0,003","D87F4257B43CD558F3891A7248E893B1D1A310145823EAF5855600A495225F79","True","True"
"log-20260607-002130-MaGaLiteratureBasedUrbanStudy","tmp\mosaic-25.2\logs\log-20260607-002130-MaGaLiteratureBasedUrbanStudy\live-maga-runtime\live_run_summary.md","tmp\archive\freeze-local-evidence-20260609\mosaic-log-lightweight-evidence\log-20260607-002130-MaGaLiteratureBasedUrbanStudy\live-maga-runtime\live_run_summary.md","2772","0,003","B74560114DEC6D2CC9DE7E97312B38FEC1CD8BAAE4E4141C1CA37115B0D32414","True","True"
"log-20260607-003506-MaGaLiteratureBasedUrbanStudy","tmp\mosaic-25.2\logs\log-20260607-003506-MaGaLiteratureBasedUrbanStudy\live-maga-runtime\literature_smoke_validation.json","tmp\archive\freeze-local-evidence-20260609\mosaic-log-lightweight-evidence\log-20260607-003506-MaGaLiteratureBasedUrbanStudy\live-maga-runtime\literature_smoke_validation.json","3420","0,003","8295F9718ECE44D11ECAD076E10FBF22AE27CA8CF50A56B16D7CF920C9C6C7BF","True","True"
"log-20260607-003506-MaGaLiteratureBasedUrbanStudy","tmp\mosaic-25.2\logs\log-20260607-003506-MaGaLiteratureBasedUrbanStudy\live-maga-runtime\literature_smoke_validation.md","tmp\archive\freeze-local-evidence-20260609\mosaic-log-lightweight-evidence\log-20260607-003506-MaGaLiteratureBasedUrbanStudy\live-maga-runtime\literature_smoke_validation.md","1525","0,001","0ED6EAA11BFF875FB81A7FCFCAD3A0B8E96854E7A954E455211E81E03025BE27","True","True"
"log-20260607-003506-MaGaLiteratureBasedUrbanStudy","tmp\mosaic-25.2\logs\log-20260607-003506-MaGaLiteratureBasedUrbanStudy\live-maga-runtime\live_published_snapshot_manifest.csv","tmp\archive\freeze-local-evidence-20260609\mosaic-log-lightweight-evidence\log-20260607-003506-MaGaLiteratureBasedUrbanStudy\live-maga-runtime\live_published_snapshot_manifest.csv","86525","0,083","0AD85FE81E7B2FC83AA4BC56B764B3E684262C5C21148AD073D1E61EE962D307","True","True"
"log-20260607-003506-MaGaLiteratureBasedUrbanStudy","tmp\mosaic-25.2\logs\log-20260607-003506-MaGaLiteratureBasedUrbanStudy\live-maga-runtime\live_run_summary.json","tmp\archive\freeze-local-evidence-20260609\mosaic-log-lightweight-evidence\log-20260607-003506-MaGaLiteratureBasedUrbanStudy\live-maga-runtime\live_run_summary.json","3570","0,003","B30B32D5D163D53028213E624094F2D4EB0CEF5994A2E92174ED89237E8799AB","True","True"
"log-20260607-003506-MaGaLiteratureBasedUrbanStudy","tmp\mosaic-25.2\logs\log-20260607-003506-MaGaLiteratureBasedUrbanStudy\live-maga-runtime\live_run_summary.md","tmp\archive\freeze-local-evidence-20260609\mosaic-log-lightweight-evidence\log-20260607-003506-MaGaLiteratureBasedUrbanStudy\live-maga-runtime\live_run_summary.md","2772","0,003","B74560114DEC6D2CC9DE7E97312B38FEC1CD8BAAE4E4141C1CA37115B0D32414","True","True"
"log-20260607-195523-MaGaLiteratureBasedUrbanStudy","tmp\mosaic-25.2\logs\log-20260607-195523-MaGaLiteratureBasedUrbanStudy\live-maga-runtime\literature_smoke_validation.json","tmp\archive\freeze-local-evidence-20260609\mosaic-log-lightweight-evidence\log-20260607-195523-MaGaLiteratureBasedUrbanStudy\live-maga-runtime\literature_smoke_validation.json","3420","0,003","86E16FF32E4232E3AFE65986AAD575E85930A8B6214B53B004F533123015046F","True","True"
"log-20260607-195523-MaGaLiteratureBasedUrbanStudy","tmp\mosaic-25.2\logs\log-20260607-195523-MaGaLiteratureBasedUrbanStudy\live-maga-runtime\literature_smoke_validation.md","tmp\archive\freeze-local-evidence-20260609\mosaic-log-lightweight-evidence\log-20260607-195523-MaGaLiteratureBasedUrbanStudy\live-maga-runtime\literature_smoke_validation.md","1525","0,001","3F7280CD736A003F84CDAA1335109B1B556E76CF2C2399F3D7CB80C1B65E3557","True","True"
"log-20260607-195523-MaGaLiteratureBasedUrbanStudy","tmp\mosaic-25.2\logs\log-20260607-195523-MaGaLiteratureBasedUrbanStudy\live-maga-runtime\live_published_snapshot_manifest.csv","tmp\archive\freeze-local-evidence-20260609\mosaic-log-lightweight-evidence\log-20260607-195523-MaGaLiteratureBasedUrbanStudy\live-maga-runtime\live_published_snapshot_manifest.csv","28656","0,027","45E2CB59A57FE080C2038DFE6FFB74F8548358591276802B2F6733F5DCB85DC8","True","True"
"log-20260607-195523-MaGaLiteratureBasedUrbanStudy","tmp\mosaic-25.2\logs\log-20260607-195523-MaGaLiteratureBasedUrbanStudy\live-maga-runtime\live_run_summary.json","tmp\archive\freeze-local-evidence-20260609\mosaic-log-lightweight-evidence\log-20260607-195523-MaGaLiteratureBasedUrbanStudy\live-maga-runtime\live_run_summary.json","3570","0,003","E6BED7909203448D90F80155905E4C359A0BFBA80DA02621440A58311C6C87BB","True","True"
"log-20260607-195523-MaGaLiteratureBasedUrbanStudy","tmp\mosaic-25.2\logs\log-20260607-195523-MaGaLiteratureBasedUrbanStudy\live-maga-runtime\live_run_summary.md","tmp\archive\freeze-local-evidence-20260609\mosaic-log-lightweight-evidence\log-20260607-195523-MaGaLiteratureBasedUrbanStudy\live-maga-runtime\live_run_summary.md","2772","0,003","B74560114DEC6D2CC9DE7E97312B38FEC1CD8BAAE4E4141C1CA37115B0D32414","True","True"
"log-20260607-205019-MaGaLiteratureBasedUrbanStudy","tmp\mosaic-25.2\logs\log-20260607-205019-MaGaLiteratureBasedUrbanStudy\live-maga-runtime\literature_smoke_validation.json","tmp\archive\freeze-local-evidence-20260609\mosaic-log-lightweight-evidence\log-20260607-205019-MaGaLiteratureBasedUrbanStudy\live-maga-runtime\literature_smoke_validation.json","3419","0,003","6BEBBE9EF6FF372541CFFACBA8E1B81AF4D178794E4A20BDD397540EF134EBC0","True","True"
"log-20260607-205019-MaGaLiteratureBasedUrbanStudy","tmp\mosaic-25.2\logs\log-20260607-205019-MaGaLiteratureBasedUrbanStudy\live-maga-runtime\literature_smoke_validation.md","tmp\archive\freeze-local-evidence-20260609\mosaic-log-lightweight-evidence\log-20260607-205019-MaGaLiteratureBasedUrbanStudy\live-maga-runtime\literature_smoke_validation.md","1524","0,001","9ACA7A8BEB24EE5B32EAE559BA6D4CEC8DE7522F6AA157235F93F73931D7D069","True","True"
"log-20260607-205019-MaGaLiteratureBasedUrbanStudy","tmp\mosaic-25.2\logs\log-20260607-205019-MaGaLiteratureBasedUrbanStudy\live-maga-runtime\live_published_snapshot_manifest.csv","tmp\archive\freeze-local-evidence-20260609\mosaic-log-lightweight-evidence\log-20260607-205019-MaGaLiteratureBasedUrbanStudy\live-maga-runtime\live_published_snapshot_manifest.csv","29538","0,028","CE724D64D6A91F67AEA98AA8A91D83C51DD4219778B9F6B64E57046E9A0C7F1B","True","True"
"log-20260607-205019-MaGaLiteratureBasedUrbanStudy","tmp\mosaic-25.2\logs\log-20260607-205019-MaGaLiteratureBasedUrbanStudy\live-maga-runtime\live_run_summary.json","tmp\archive\freeze-local-evidence-20260609\mosaic-log-lightweight-evidence\log-20260607-205019-MaGaLiteratureBasedUrbanStudy\live-maga-runtime\live_run_summary.json","3570","0,003","09C323B57312A38B0F2D0804051A41EF6CEB3BA799F2C23F6955EEE0465CFDF6","True","True"
