"RelativePath","Exists","ItemType","FileCount","SizeBytes","SizeMiB","Action","Reason"
"tmp\phase14c44-low_density-smoke-seed-207547.log","True","FILE","1","118118","0,113","DELETE_REPETITIVE_LOG_AFTER_SUMMARY_PRESERVATION_REVIEW","Log ripetitivo della calibrazione. I CSV sintetici utili sono stati archiviati."
"tmp\phase14c45-nominal-nominal-seed-104729.log","True","FILE","1","304082","0,29","DELETE_REPETITIVE_LOG_AFTER_SUMMARY_PRESERVATION_REVIEW","Log ripetitivo della calibrazione. I CSV sintetici utili sono stati archiviati."
"tmp\phase14c46-nominal-smoke-seed-104729.log","True","FILE","1","123764","0,118","DELETE_REPETITIVE_LOG_AFTER_SUMMARY_PRESERVATION_REVIEW","Log ripetitivo della calibrazione. I CSV sintetici utili sono stati archiviati."
"tmp\phase14c47-nominal-nominal-seed-104729.log","True","FILE","1","135008","0,129","DELETE_REPETITIVE_LOG_AFTER_SUMMARY_PRESERVATION_REVIEW","Log ripetitivo della calibrazione. I CSV sintetici utili sono stati archiviati."
"tools\intas-literature-scenario.zip","True","FILE","1","49590","0,047","DELETE_TEMPORARY_ZIP_AFTER_REVIEW","ZIP temporaneo non tracciato. Il checkpoint funzionale è già pubblicato."
"tools\mosaic-live-maga-runtime.zip","True","FILE","1","5605012","5,345","DELETE_TEMPORARY_ZIP_AFTER_REVIEW","ZIP temporaneo non tracciato. Il checkpoint funzionale è già pubblicato."
"out","True","DIRECTORY","1313","7153344","6,822","DELETE_AFTER_REBUILD_VALIDATION","Output locale misto. Le evidenze issue18-* sono già state archiviate."
"tools\mosaic-live-state-layer\out","True","DIRECTORY","92","1649040","1,573","DELETE_AFTER_REBUILD_VALIDATION","Output compilato rigenerabile."
"tools\mosaic-adhoc-radio-diagnostic\out","True","DIRECTORY","9","792890","0,756","DELETE_AFTER_REBUILD_VALIDATION","Output compilato rigenerabile."
"tools\mosaic-live-maga-runtime\out","True","DIRECTORY","265","5019482","4,787","DELETE_AFTER_REBUILD_VALIDATION","Output compilato rigenerabile."
"tmp\mosaic-25.2\tools\maga-workload-diagnostic\out","True","DIRECTORY","2","5948","0,006","DELETE_OBSOLETE_DIAGNOSTIC_OUTPUT_AFTER_REVIEW","Vecchi class diagnostici locali senza dipendenze operative attive."
"tmp\mosaic-25.2\logs\log-20260602-170713-MaGaCellStudy","True","DIRECTORY","87","21353583","20,364","DELETE_INTERMEDIATE_RUN_AFTER_LIGHTWEIGHT_EVIDENCE_REVIEW","Run intermedio. Le evidenze leggere candidate sono state copiate nell'archivio locale."
"tmp\mosaic-25.2\logs\log-20260602-172233-MaGaCellStudy","True","DIRECTORY","87","21354941","20,366","DELETE_INTERMEDIATE_RUN_AFTER_LIGHTWEIGHT_EVIDENCE_REVIEW","Run intermedio. Le evidenze leggere candidate sono state copiate nell'archivio locale."
"tmp\mosaic-25.2\logs\log-20260602-173039-MaGaMosaicStudy","True","DIRECTORY","87","21356521","20,367","DELETE_INTERMEDIATE_RUN_AFTER_LIGHTWEIGHT_EVIDENCE_REVIEW","Run intermedio. Le evidenze leggere candidate sono state copiate nell'archivio locale."
"tmp\mosaic-25.2\logs\log-20260603-115245-MaGaV2VStudy","True","DIRECTORY","15","85991","0,082","DELETE_INTERMEDIATE_RUN_AFTER_LIGHTWEIGHT_EVIDENCE_REVIEW","Run intermedio. Le evidenze leggere candidate sono state copiate nell'archivio locale."
"tmp\mosaic-25.2\logs\log-20260603-115949-MaGaV2VStudy","True","DIRECTORY","75","60376849","57,58","DELETE_INTERMEDIATE_RUN_AFTER_LIGHTWEIGHT_EVIDENCE_REVIEW","Run intermedio. Le evidenze leggere candidate sono state copiate nell'archivio locale."
"tmp\mosaic-25.2\logs\log-20260603-123856-MaGaWorkloadStudy","True","DIRECTORY","26","741286","0,707","DELETE_INTERMEDIATE_RUN_AFTER_LIGHTWEIGHT_EVIDENCE_REVIEW","Run intermedio. Le evidenze leggere candidate sono state copiate nell'archivio locale."
"tmp\mosaic-25.2\logs\log-20260603-171052-MaGaIntegratedStudy","True","DIRECTORY","39","2069544","1,974","DELETE_INTERMEDIATE_RUN_AFTER_LIGHTWEIGHT_EVIDENCE_REVIEW","Run intermedio. Le evidenze leggere candidate sono state copiate nell'archivio locale."
"tmp\mosaic-25.2\logs\log-20260603-171156-MaGaIntegratedStudyPayload2x","True","DIRECTORY","39","2073201","1,977","DELETE_INTERMEDIATE_RUN_AFTER_LIGHTWEIGHT_EVIDENCE_REVIEW","Run intermedio. Le evidenze leggere candidate sono state copiate nell'archivio locale."
"tmp\mosaic-25.2\logs\log-20260603-171215-MaGaIntegratedStudyFrequency2x","True","DIRECTORY","39","3376641","3,22","DELETE_INTERMEDIATE_RUN_AFTER_LIGHTWEIGHT_EVIDENCE_REVIEW","Run intermedio. Le evidenze leggere candidate sono state copiate nell'archivio locale."
"tmp\mosaic-25.2\logs\log-20260603-172215-MaGaIntegratedStudy","True","DIRECTORY","39","2069302","1,973","DELETE_INTERMEDIATE_RUN_AFTER_LIGHTWEIGHT_EVIDENCE_REVIEW","Run intermedio. Le evidenze leggere candidate sono state copiate nell'archivio locale."
"tmp\mosaic-25.2\logs\log-20260603-172229-MaGaIntegratedStudyPayload2x","True","DIRECTORY","39","2069333","1,973","DELETE_INTERMEDIATE_RUN_AFTER_LIGHTWEIGHT_EVIDENCE_REVIEW","Run intermedio. Le evidenze leggere candidate sono state copiate nell'archivio locale."
"tmp\mosaic-25.2\logs\log-20260603-172242-MaGaIntegratedStudyFrequency2x","True","DIRECTORY","39","3376415","3,22","DELETE_INTERMEDIATE_RUN_AFTER_LIGHTWEIGHT_EVIDENCE_REVIEW","Run intermedio. Le evidenze leggere candidate sono state copiate nell'archivio locale."
"tmp\mosaic-25.2\logs\log-20260603-174645-MaGaIntegratedStudy","True","DIRECTORY","39","3601391","3,435","DELETE_INTERMEDIATE_RUN_AFTER_LIGHTWEIGHT_EVIDENCE_REVIEW","Run intermedio. Le evidenze leggere candidate sono state copiate nell'archivio locale."
"tmp\mosaic-25.2\logs\log-20260603-174659-MaGaIntegratedStudyRequest2x","True","DIRECTORY","39","3601420","3,435","DELETE_INTERMEDIATE_RUN_AFTER_LIGHTWEIGHT_EVIDENCE_REVIEW","Run intermedio. Le evidenze leggere candidate sono state copiate nell'archivio locale."
"tmp\mosaic-25.2\logs\log-20260603-174713-MaGaIntegratedStudyResponse2x","True","DIRECTORY","39","3608566","3,441","DELETE_INTERMEDIATE_RUN_AFTER_LIGHTWEIGHT_EVIDENCE_REVIEW","Run intermedio. Le evidenze leggere candidate sono state copiate nell'archivio locale."
"tmp\mosaic-25.2\logs\log-20260603-174732-MaGaIntegratedStudyFrequency2x","True","DIRECTORY","39","6450415","6,152","DELETE_INTERMEDIATE_RUN_AFTER_LIGHTWEIGHT_EVIDENCE_REVIEW","Run intermedio. Le evidenze leggere candidate sono state copiate nell'archivio locale."
"tmp\mosaic-25.2\logs\log-20260605-103006-MaGaLiveBridgeProbe","True","DIRECTORY","21","60793","0,058","DELETE_INTERMEDIATE_RUN_AFTER_LIGHTWEIGHT_EVIDENCE_REVIEW","Run intermedio. Le evidenze leggere candidate sono state copiate nell'archivio locale."
"tmp\mosaic-25.2\logs\log-20260605-105223-MaGaLiveStateLayerStudy","True","DIRECTORY","12","32901","0,031","DELETE_INTERMEDIATE_RUN_AFTER_LIGHTWEIGHT_EVIDENCE_REVIEW","Run intermedio. Le evidenze leggere candidate sono state copiate nell'archivio locale."
"tmp\mosaic-25.2\logs\log-20260605-105320-MaGaLiveStateLayerStudy","True","DIRECTORY","26","83245","0,079","DELETE_INTERMEDIATE_RUN_AFTER_LIGHTWEIGHT_EVIDENCE_REVIEW","Run intermedio. Le evidenze leggere candidate sono state copiate nell'archivio locale."
"tmp\mosaic-25.2\logs\log-20260605-112645-MaGaLiveInfrastructureSnapshotStudy","True","DIRECTORY","27","36554","0,035","DELETE_INTERMEDIATE_RUN_AFTER_LIGHTWEIGHT_EVIDENCE_REVIEW","Run intermedio. Le evidenze leggere candidate sono state copiate nell'archivio locale."
"tmp\mosaic-25.2\logs\log-20260605-112719-MaGaLiveInfrastructureSnapshotStudy","True","DIRECTORY","27","36563","0,035","DELETE_INTERMEDIATE_RUN_AFTER_LIGHTWEIGHT_EVIDENCE_REVIEW","Run intermedio. Le evidenze leggere candidate sono state copiate nell'archivio locale."
"tmp\mosaic-25.2\logs\log-20260605-112806-MaGaLiveInfrastructureSnapshotStudy","True","DIRECTORY","27","36561","0,035","DELETE_INTERMEDIATE_RUN_AFTER_LIGHTWEIGHT_EVIDENCE_REVIEW","Run intermedio. Le evidenze leggere candidate sono state copiate nell'archivio locale."
"tmp\mosaic-25.2\logs\log-20260605-112916-MaGaLiveInfrastructureSnapshotStudy","True","DIRECTORY","119","2646064","2,523","DELETE_INTERMEDIATE_RUN_AFTER_LIGHTWEIGHT_EVIDENCE_REVIEW","Run intermedio. Le evidenze leggere candidate sono state copiate nell'archivio locale."
"tmp\mosaic-25.2\logs\log-20260605-113036-MaGaLiveInfrastructureSnapshotStudy","True","DIRECTORY","120","3250314","3,1","DELETE_INTERMEDIATE_RUN_AFTER_LIGHTWEIGHT_EVIDENCE_REVIEW","Run intermedio. Le evidenze leggere candidate sono state copiate nell'archivio locale."
"tmp\mosaic-25.2\logs\log-20260606-101604-MaGaLiveMagaRuntimeStudy","True","DIRECTORY","56","1000564","0,954","DELETE_INTERMEDIATE_RUN_AFTER_LIGHTWEIGHT_EVIDENCE_REVIEW","Run intermedio. Le evidenze leggere candidate sono state copiate nell'archivio locale."
"tmp\mosaic-25.2\logs\log-20260606-101627-MaGaLiveMagaRuntimeStudy","True","DIRECTORY","56","943145","0,899","DELETE_INTERMEDIATE_RUN_AFTER_LIGHTWEIGHT_EVIDENCE_REVIEW","Run intermedio. Le evidenze leggere candidate sono state copiate nell'archivio locale."
"tmp\mosaic-25.2\logs\log-20260606-105058-MaGaLiveMagaRuntimeStudy","True","DIRECTORY","89","1152803","1,099","DELETE_INTERMEDIATE_RUN_AFTER_LIGHTWEIGHT_EVIDENCE_REVIEW","Run intermedio. Le evidenze leggere candidate sono state copiate nell'archivio locale."
"tmp\mosaic-25.2\logs\log-20260606-105113-MaGaLiveMagaRuntimeStudy","True","DIRECTORY","89","1095097","1,044","DELETE_INTERMEDIATE_RUN_AFTER_LIGHTWEIGHT_EVIDENCE_REVIEW","Run intermedio. Le evidenze leggere candidate sono state copiate nell'archivio locale."
"tmp\mosaic-25.2\logs\log-20260606-105353-MaGaLiveMagaRuntimeStudy","True","DIRECTORY","89","1151620","1,098","DELETE_INTERMEDIATE_RUN_AFTER_LIGHTWEIGHT_EVIDENCE_REVIEW","Run intermedio. Le evidenze leggere candidate sono state copiate nell'archivio locale."
"tmp\mosaic-25.2\logs\log-20260606-105409-MaGaLiveMagaRuntimeStudy","True","DIRECTORY","89","1093550","1,043","DELETE_INTERMEDIATE_RUN_AFTER_LIGHTWEIGHT_EVIDENCE_REVIEW","Run intermedio. Le evidenze leggere candidate sono state copiate nell'archivio locale."
"tmp\mosaic-25.2\logs\log-20260606-113605-MaGaLiveMagaRuntimeStudy","True","DIRECTORY","89","1148107","1,095","DELETE_INTERMEDIATE_RUN_AFTER_LIGHTWEIGHT_EVIDENCE_REVIEW","Run intermedio. Le evidenze leggere candidate sono state copiate nell'archivio locale."
"tmp\mosaic-25.2\logs\log-20260606-122434-MaGaLiveMagaRuntimeStudy","True","DIRECTORY","91","1152584","1,099","DELETE_INTERMEDIATE_RUN_AFTER_LIGHTWEIGHT_EVIDENCE_REVIEW","Run intermedio. Le evidenze leggere candidate sono state copiate nell'archivio locale."
"tmp\mosaic-25.2\logs\log-20260606-122513-MaGaLiveMagaRuntimeStudy","True","DIRECTORY","91","1149974","1,097","DELETE_INTERMEDIATE_RUN_AFTER_LIGHTWEIGHT_EVIDENCE_REVIEW","Run intermedio. Le evidenze leggere candidate sono state copiate nell'archivio locale."
"tmp\mosaic-25.2\logs\log-20260606-122530-MaGaLiveMagaRuntimeStudy","True","DIRECTORY","89","1099967","1,049","DELETE_INTERMEDIATE_RUN_AFTER_LIGHTWEIGHT_EVIDENCE_REVIEW","Run intermedio. Le evidenze leggere candidate sono state copiate nell'archivio locale."
"tmp\mosaic-25.2\logs\log-20260606-122618-MaGaLiveMagaRuntimeStudy","True","DIRECTORY","91","1150266","1,097","DELETE_INTERMEDIATE_RUN_AFTER_LIGHTWEIGHT_EVIDENCE_REVIEW","Run intermedio. Le evidenze leggere candidate sono state copiate nell'archivio locale."
"tmp\mosaic-25.2\logs\log-20260606-232317-MaGaLiteratureBasedUrbanStudy","True","DIRECTORY","11","4122","0,004","DELETE_INTERMEDIATE_RUN_AFTER_LIGHTWEIGHT_EVIDENCE_REVIEW","Run intermedio. Le evidenze leggere candidate sono state copiate nell'archivio locale."
"tmp\mosaic-25.2\logs\log-20260606-232557-MaGaLiteratureBasedUrbanStudy","True","DIRECTORY","26","126976","0,121","DELETE_INTERMEDIATE_RUN_AFTER_LIGHTWEIGHT_EVIDENCE_REVIEW","Run intermedio. Le evidenze leggere candidate sono state copiate nell'archivio locale."
"tmp\mosaic-25.2\logs\log-20260606-232642-MaGaLiteratureBasedUrbanStudy","True","DIRECTORY","141","82645063","78,816","DELETE_INTERMEDIATE_RUN_AFTER_LIGHTWEIGHT_EVIDENCE_REVIEW","Run intermedio. Le evidenze leggere candidate sono state copiate nell'archivio locale."
"tmp\mosaic-25.2\logs\log-20260606-234207-MaGaLiteratureBasedUrbanStudy","True","DIRECTORY","141","83391396","79,528","DELETE_INTERMEDIATE_RUN_AFTER_LIGHTWEIGHT_EVIDENCE_REVIEW","Run intermedio. Le evidenze leggere candidate sono state copiate nell'archivio locale."
"tmp\mosaic-25.2\logs\log-20260607-000753-MaGaLiteratureBasedUrbanStudy","True","DIRECTORY","157","41051969","39,15","DELETE_INTERMEDIATE_RUN_AFTER_LIGHTWEIGHT_EVIDENCE_REVIEW","Run intermedio. Le evidenze leggere candidate sono state copiate nell'archivio locale."
"tmp\mosaic-25.2\logs\log-20260607-001116-MaGaLiteratureBasedUrbanStudy","True","DIRECTORY","157","40936915","39,04","DELETE_INTERMEDIATE_RUN_AFTER_LIGHTWEIGHT_EVIDENCE_REVIEW","Run intermedio. Le evidenze leggere candidate sono state copiate nell'archivio locale."
"tmp\mosaic-25.2\logs\log-20260607-001442-MaGaLiteratureBasedUrbanStudy","True","DIRECTORY","157","41244077","39,333","DELETE_INTERMEDIATE_RUN_AFTER_LIGHTWEIGHT_EVIDENCE_REVIEW","Run intermedio. Le evidenze leggere candidate sono state copiate nell'archivio locale."
"tmp\mosaic-25.2\logs\log-20260607-002130-MaGaLiteratureBasedUrbanStudy","True","DIRECTORY","157","41282581","39,37","DELETE_INTERMEDIATE_RUN_AFTER_LIGHTWEIGHT_EVIDENCE_REVIEW","Run intermedio. Le evidenze leggere candidate sono state copiate nell'archivio locale."
"tmp\mosaic-25.2\logs\log-20260607-003506-MaGaLiteratureBasedUrbanStudy","True","DIRECTORY","157","41205751","39,297","DELETE_INTERMEDIATE_RUN_AFTER_LIGHTWEIGHT_EVIDENCE_REVIEW","Run intermedio. Le evidenze leggere candidate sono state copiate nell'archivio locale."
"tmp\mosaic-25.2\logs\log-20260607-195523-MaGaLiteratureBasedUrbanStudy","True","DIRECTORY","214","45425206","43,321","DELETE_INTERMEDIATE_RUN_AFTER_LIGHTWEIGHT_EVIDENCE_REVIEW","Run intermedio. Le evidenze leggere candidate sono state copiate nell'archivio locale."
"tmp\mosaic-25.2\logs\log-20260607-205019-MaGaLiteratureBasedUrbanStudy","True","DIRECTORY","214","45575320","43,464","DELETE_INTERMEDIATE_RUN_AFTER_LIGHTWEIGHT_EVIDENCE_REVIEW","Run intermedio. Le evidenze leggere candidate sono state copiate nell'archivio locale."
"tmp\mosaic-25.2\logs\log-20260607-210622-MaGaLiteratureBasedUrbanStudy","True","DIRECTORY","214","45781422","43,661","DELETE_INTERMEDIATE_RUN_AFTER_LIGHTWEIGHT_EVIDENCE_REVIEW","Run intermedio. Le evidenze leggere candidate sono state copiate nell'archivio locale."
"tmp\mosaic-25.2\logs\log-20260607-235837-MaGaLiteratureBasedUrbanStudy","True","DIRECTORY","214","46119712","43,983","DELETE_INTERMEDIATE_RUN_AFTER_LIGHTWEIGHT_EVIDENCE_REVIEW","Run intermedio. Le evidenze leggere candidate sono state copiate nell'archivio locale."
"tmp\mosaic-25.2\logs\log-20260608-001744-MaGaLiteratureBasedUrbanStudy","True","DIRECTORY","214","46454889","44,303","DELETE_INTERMEDIATE_RUN_AFTER_LIGHTWEIGHT_EVIDENCE_REVIEW","Run intermedio. Le evidenze leggere candidate sono state copiate nell'archivio locale."
"tmp\mosaic-25.2\logs\log-20260608-001818-MaGaLiteratureBasedUrbanStudy","True","DIRECTORY","214","46849901","44,68","DELETE_INTERMEDIATE_RUN_AFTER_LIGHTWEIGHT_EVIDENCE_REVIEW","Run intermedio. Le evidenze leggere candidate sono state copiate nell'archivio locale."
"tmp\mosaic-25.2\logs\log-20260608-001852-MaGaLiteratureBasedUrbanStudy","True","DIRECTORY","214","44555880","42,492","DELETE_INTERMEDIATE_RUN_AFTER_LIGHTWEIGHT_EVIDENCE_REVIEW","Run intermedio. Le evidenze leggere candidate sono state copiate nell'archivio locale."
"tmp\mosaic-25.2\logs\log-20260608-003731-MaGaLiteratureBasedUrbanStudy","True","DIRECTORY","151","29310706","27,953","DELETE_INTERMEDIATE_RUN_AFTER_LIGHTWEIGHT_EVIDENCE_REVIEW","Run intermedio. Le evidenze leggere candidate sono state copiate nell'archivio locale."
"tmp\mosaic-25.2\logs\log-20260608-003806-MaGaLiteratureBasedUrbanStudy","True","DIRECTORY","304","70501289","67,235","DELETE_INTERMEDIATE_RUN_AFTER_LIGHTWEIGHT_EVIDENCE_REVIEW","Run intermedio. Le evidenze leggere candidate sono state copiate nell'archivio locale."
"tmp\mosaic-25.2\logs\log-20260608-004307-MaGaLiteratureBasedUrbanStudy","True","DIRECTORY","151","28388443","27,073","DELETE_INTERMEDIATE_RUN_AFTER_LIGHTWEIGHT_EVIDENCE_REVIEW","Run intermedio. Le evidenze leggere candidate sono state copiate nell'archivio locale."
"tmp\mosaic-25.2\logs\log-20260608-004338-MaGaLiteratureBasedUrbanStudy","True","DIRECTORY","151","29262385","27,907","DELETE_INTERMEDIATE_RUN_AFTER_LIGHTWEIGHT_EVIDENCE_REVIEW","Run intermedio. Le evidenze leggere candidate sono state copiate nell'archivio locale."
"tmp\mosaic-25.2\logs\log-20260608-004411-MaGaLiteratureBasedUrbanStudy","True","DIRECTORY","151","29623016","28,251","DELETE_INTERMEDIATE_RUN_AFTER_LIGHTWEIGHT_EVIDENCE_REVIEW","Run intermedio. Le evidenze leggere candidate sono state copiate nell'archivio locale."
"tmp\mosaic-25.2\logs\log-20260608-004444-MaGaLiteratureBasedUrbanStudy","True","DIRECTORY","151","29276769","27,921","DELETE_INTERMEDIATE_RUN_AFTER_LIGHTWEIGHT_EVIDENCE_REVIEW","Run intermedio. Le evidenze leggere candidate sono state copiate nell'archivio locale."
"tmp\mosaic-25.2\logs\log-20260608-004519-MaGaLiteratureBasedUrbanStudy","True","DIRECTORY","304","71466691","68,156","DELETE_INTERMEDIATE_RUN_AFTER_LIGHTWEIGHT_EVIDENCE_REVIEW","Run intermedio. Le evidenze leggere candidate sono state copiate nell'archivio locale."
"tmp\mosaic-25.2\logs\log-20260608-004604-MaGaLiteratureBasedUrbanStudy","True","DIRECTORY","304","74210858","70,773","DELETE_INTERMEDIATE_RUN_AFTER_LIGHTWEIGHT_EVIDENCE_REVIEW","Run intermedio. Le evidenze leggere candidate sono state copiate nell'archivio locale."
"tmp\mosaic-25.2\logs\log-20260608-004650-MaGaLiteratureBasedUrbanStudy","True","DIRECTORY","304","70031464","66,787","DELETE_INTERMEDIATE_RUN_AFTER_LIGHTWEIGHT_EVIDENCE_REVIEW","Run intermedio. Le evidenze leggere candidate sono state copiate nell'archivio locale."
"tmp\mosaic-25.2\logs\log-20260608-004738-MaGaLiteratureBasedUrbanStudy","True","DIRECTORY","304","73073860","69,689","DELETE_INTERMEDIATE_RUN_AFTER_LIGHTWEIGHT_EVIDENCE_REVIEW","Run intermedio. Le evidenze leggere candidate sono state copiate nell'archivio locale."
"tmp\mosaic-25.2\logs\log-20260608-014604-MaGaLiteratureBasedUrbanStudy","True","DIRECTORY","207","89914684","85,749","DELETE_INTERMEDIATE_RUN_AFTER_LIGHTWEIGHT_EVIDENCE_REVIEW","Run intermedio. Le evidenze leggere candidate sono state copiate nell'archivio locale."
"tmp\mosaic-25.2\logs\log-20260608-020553-MaGaLiteratureBasedUrbanStudy","True","DIRECTORY","207","78882968","75,229","DELETE_INTERMEDIATE_RUN_AFTER_LIGHTWEIGHT_EVIDENCE_REVIEW","Run intermedio. Le evidenze leggere candidate sono state copiate nell'archivio locale."
"tmp\mosaic-25.2\logs\log-20260608-103416-MaGaLiteratureBasedUrbanStudy","True","DIRECTORY","207","97777004","93,247","DELETE_INTERMEDIATE_RUN_AFTER_LIGHTWEIGHT_EVIDENCE_REVIEW","Run intermedio. Le evidenze leggere candidate sono state copiate nell'archivio locale."
"tmp\mosaic-25.2\logs\log-20260608-112349-MaGaLiteratureBasedUrbanStudy","True","DIRECTORY","214","45699258","43,582","DELETE_INTERMEDIATE_RUN_AFTER_LIGHTWEIGHT_EVIDENCE_REVIEW","Run intermedio. Le evidenze leggere candidate sono state copiate nell'archivio locale."
"tmp\mosaic-25.2\logs\log-20260608-114537-MaGaLiteratureBasedUrbanStudy","True","DIRECTORY","364","78610481","74,969","DELETE_INTERMEDIATE_RUN_AFTER_LIGHTWEIGHT_EVIDENCE_REVIEW","Run intermedio. Le evidenze leggere candidate sono state copiate nell'archivio locale."
"tmp\mosaic-25.2\logs\log-20260608-125754-MaGaLiteratureBasedUrbanStudy","True","DIRECTORY","214","46369447","44,221","DELETE_INTERMEDIATE_RUN_AFTER_LIGHTWEIGHT_EVIDENCE_REVIEW","Run intermedio. Le evidenze leggere candidate sono state copiate nell'archivio locale."
"tmp\mosaic-25.2\logs\log-20260608-155008-MaGaLiteratureBasedUrbanStudy","True","DIRECTORY","364","73634806","70,224","DELETE_INTERMEDIATE_RUN_AFTER_LIGHTWEIGHT_EVIDENCE_REVIEW","Run intermedio. Le evidenze leggere candidate sono state copiate nell'archivio locale."
"tmp\mosaic-25.2\logs\log-20260608-164006-MaGaLiteratureBasedUrbanStudy","True","DIRECTORY","364","92461594","88,178","DELETE_INTERMEDIATE_RUN_AFTER_LIGHTWEIGHT_EVIDENCE_REVIEW","Run intermedio. Le evidenze leggere candidate sono state copiate nell'archivio locale."
