"Category","RelativePath","ItemType","FileCount","SizeBytes","SizeMiB","AggregateSHA256","Action","Reason"
"REPETITIVE_CALIBRATION_LOG","tmp\phase14c44-high_density-smoke-seed-130363.log","FILE","1","132054","0,126","35181A677E1024FE6A974F2E3B9C1C36E992280A0801A48B88CD4EA5EC03A145","DELETE_CONFIRMED_SAFE_LOCAL_ARTIFACT","Log ripetitivo già rappresentato dai CSV sintetici archiviati."
"REPETITIVE_CALIBRATION_LOG","tmp\phase14c44-high_density-smoke-seed-155921.log","FILE","1","131842","0,126","613EE3016EA956CEC6456373D3370B987808447690E87F59E7AAD6B5EE75EC1D","DELETE_CONFIRMED_SAFE_LOCAL_ARTIFACT","Log ripetitivo già rappresentato dai CSV sintetici archiviati."
"REPETITIVE_CALIBRATION_LOG","tmp\phase14c44-high_density-smoke-seed-181081.log","FILE","1","132282","0,126","312EE9901B199C082EF760710358C67B4C4317EEBA172149AB788C5E783A3E50","DELETE_CONFIRMED_SAFE_LOCAL_ARTIFACT","Log ripetitivo già rappresentato dai CSV sintetici archiviati."
"REPETITIVE_CALIBRATION_LOG","tmp\phase14c44-high_density-smoke-seed-207547.log","FILE","1","132080","0,126","7D223082C916E5CC56D466C33609427972E655958F59FB9E5D78410E263D49F4","DELETE_CONFIRMED_SAFE_LOCAL_ARTIFACT","Log ripetitivo già rappresentato dai CSV sintetici archiviati."
"REPETITIVE_CALIBRATION_LOG","tmp\phase14c44-low_density-smoke-seed-104729.log","FILE","1","117666","0,112","CAE57D2A3C5D1085923A694F0ECE6BB64C5315E7CB757678221CA6BED786904A","DELETE_CONFIRMED_SAFE_LOCAL_ARTIFACT","Log ripetitivo già rappresentato dai CSV sintetici archiviati."
"REPETITIVE_CALIBRATION_LOG","tmp\phase14c44-low_density-smoke-seed-130363.log","FILE","1","117688","0,112","81511C364FAD8C76379166DB34D44FA2A42140589D1E8DF07C1B48B2BD65AB28","DELETE_CONFIRMED_SAFE_LOCAL_ARTIFACT","Log ripetitivo già rappresentato dai CSV sintetici archiviati."
"REPETITIVE_CALIBRATION_LOG","tmp\phase14c44-low_density-smoke-seed-155921.log","FILE","1","117682","0,112","3A6533322A2714F4BFB5983F5039DD9BDCFC02528727B0FA11D9F388B1F9EB51","DELETE_CONFIRMED_SAFE_LOCAL_ARTIFACT","Log ripetitivo già rappresentato dai CSV sintetici archiviati."
"REPETITIVE_CALIBRATION_LOG","tmp\phase14c44-low_density-smoke-seed-181081.log","FILE","1","118122","0,113","B26A85D5CD13EDEE62101A75766FB02EB96BD11546970734A29EF28CF756A251","DELETE_CONFIRMED_SAFE_LOCAL_ARTIFACT","Log ripetitivo già rappresentato dai CSV sintetici archiviati."
"REPETITIVE_CALIBRATION_LOG","tmp\phase14c44-low_density-smoke-seed-207547.log","FILE","1","118118","0,113","C8FE936200768F99767E5D0910A51BE88995FA6D643486869761CF480B3CE77C","DELETE_CONFIRMED_SAFE_LOCAL_ARTIFACT","Log ripetitivo già rappresentato dai CSV sintetici archiviati."
"REPETITIVE_CALIBRATION_LOG","tmp\phase14c45-nominal-nominal-seed-104729.log","FILE","1","304082","0,29","BE7C5E95EB077A88FE731FF13517723CB7FA14E5B0361A336FB82A1FFD96F6F6","DELETE_CONFIRMED_SAFE_LOCAL_ARTIFACT","Log ripetitivo già rappresentato dai CSV sintetici archiviati."
"REPETITIVE_CALIBRATION_LOG","tmp\phase14c46-nominal-smoke-seed-104729.log","FILE","1","123764","0,118","AB46894AD082EC45FAA745899E9E288EA3D7C89BC282E57A82BE290AAB98ACC8","DELETE_CONFIRMED_SAFE_LOCAL_ARTIFACT","Log ripetitivo già rappresentato dai CSV sintetici archiviati."
"REPETITIVE_CALIBRATION_LOG","tmp\phase14c47-nominal-nominal-seed-104729.log","FILE","1","135008","0,129","765807AA6FBF2EE6CF241E260EC11838263DE41BFF5AFDC41887A79DC87554C5","DELETE_CONFIRMED_SAFE_LOCAL_ARTIFACT","Log ripetitivo già rappresentato dai CSV sintetici archiviati."
"OBSOLETE_DIAGNOSTIC_CLASS_OUTPUT","tmp\mosaic-25.2\tools\maga-workload-diagnostic\out","DIRECTORY","2","5948","0,006","dc7e5d6bda6129eff73224e10daed8dd4d753d2da8642988aed49437497e16a0","DELETE_CONFIRMED_SAFE_LOCAL_ARTIFACT","Vecchi file .class diagnostici senza dipendenze operative attive."
