"originalPath","archivedPath","category","trackedByGit","sizeBytes","sha256","reason","runtimeDependency","action"
"data/mosaic-study/diagnostics/phase_13a_live_api_probe_validation.json","archive/generated-offline-artifacts/diagnostics-history/phase_13a_live_api_probe_validation.json","ARCHIVE_GENERATED_OFFLINE_ARTIFACT","True","2344","5420e51bd4a652c6298d67cbca8046e202434f6739fc401f8724eba17864b637","Historical diagnostic retained in archive; active diagnostics keep phase 13E and packaging only.","false","MOVED_TO_ARCHIVE"
"data/mosaic-study/diagnostics/phase_13b_live_state_layer_validation.json","archive/generated-offline-artifacts/diagnostics-history/phase_13b_live_state_layer_validation.json","ARCHIVE_GENERATED_OFFLINE_ARTIFACT","True","1954","812d8211a6202d22d1f566368ad3c8479697ff85d5eb1763fea56db31f035a13","Historical diagnostic retained in archive; active diagnostics keep phase 13E and packaging only.","false","MOVED_TO_ARCHIVE"
"data/mosaic-study/diagnostics/phase_13c_live_infrastructure_snapshot_validation.json","archive/generated-offline-artifacts/diagnostics-history/phase_13c_live_infrastructure_snapshot_validation.json","ARCHIVE_GENERATED_OFFLINE_ARTIFACT","True","3099","fee5898b92c23653c1c53e8b3fb92117ce14d625a240eb67b2f4f6672486144a","Historical diagnostic retained in archive; active diagnostics keep phase 13E and packaging only.","false","MOVED_TO_ARCHIVE"
"data/mosaic-study/diagnostics/phase_13d_live_maga_runtime_validation.json","archive/generated-offline-artifacts/diagnostics-history/phase_13d_live_maga_runtime_validation.json","ARCHIVE_GENERATED_OFFLINE_ARTIFACT","True","2145","50cf4f09df01b46d01f67bd30ed652ce9dcd901d8706ba0ad5c96cb6701f21db","Historical diagnostic retained in archive; active diagnostics keep phase 13E and packaging only.","false","MOVED_TO_ARCHIVE"
"data/mosaic-study/diagnostics/phase_13e_live_bridge_end_to_end_validation.json","data/mosaic-study/diagnostics/phase_13e_live_bridge_end_to_end_validation.json","ACTIVE_RUNTIME_REQUIRED","True","2624","7785e5a06314fd8354dbdf579a24cbf749802d121d5af7fa9a6c36a2ed86458b","Kept active for runtime, documentation, regression data, or final evidence.","true","KEPT_ACTIVE_REQUIRED"
"data/mosaic-study/task_stream.csv","archive/generated-offline-artifacts/task_stream.csv","ARCHIVE_GENERATED_OFFLINE_ARTIFACT","True","72386","644d829e2b2ed6ac78f6add80c3c788d872f98210212df6cd25ff41bc90365ec","Offline artifact regenerated by archived exporter and not read by live runtime.","false","MOVED_TO_ARCHIVE"
"data/mosaic-study/vehicle_state_stream.csv","archive/generated-offline-artifacts/vehicle_state_stream.csv","ARCHIVE_GENERATED_OFFLINE_ARTIFACT","True","188290","5ec8761e99561cf7b99b9b7c3ae840d2dee1b4e7bc2b60df3c925dc7031b26c5","Offline artifact regenerated by archived exporter and not read by live runtime.","false","MOVED_TO_ARCHIVE"
"data/snapshots/mosaic-generated","archive/generated-regression-snapshots/mosaic-generated","ARCHIVE_GENERATED_OFFLINE_ARTIFACT","False","0","","Generated regression snapshots not read by ordinary live runtime.","false","MOVED_TO_ARCHIVE"
"data/snapshots/temporal","data/snapshots/temporal","ACTIVE_RUNTIME_REQUIRED","True","1887211","","Kept active for runtime, documentation, regression data, or final evidence.","true","KEPT_ACTIVE_REQUIRED"
"src","src","ACTIVE_RUNTIME_REQUIRED","True","853523","","Kept active for runtime, documentation, regression data, or final evidence.","true","KEPT_ACTIVE_REQUIRED"
"tools/deploy-mosaic-scenarios.ps1","archive/historical-tools/deploy-mosaic-scenarios.ps1","ARCHIVE_HISTORICAL_TOOL","True","2770","3b4f94614a0424cc20c5cb2c8067183d3dadcc6710ca9d103bd0b92b5b6bd4cc","Historical diagnostic/deploy tool not required by ordinary live runtime.","false","MOVED_TO_ARCHIVE"
"tools/json-time-full-horizon-validation","archive/regression-tools/json-time-full-horizon-validation","ARCHIVE_REGRESSION_TOOL","True","761132","","Regression/offline validation tool preserved outside active runtime path.","false","MOVED_TO_ARCHIVE"
"tools/mosaic-adhoc-radio-diagnostic","tools/mosaic-adhoc-radio-diagnostic","ACTIVE_RUNTIME_REQUIRED","True","803241","","Kept active for runtime, documentation, regression data, or final evidence.","true","KEPT_ACTIVE_REQUIRED"
"tools/mosaic-cell-traffic-diagnostic","archive/historical-tools/mosaic-cell-traffic-diagnostic","ARCHIVE_HISTORICAL_TOOL","True","859712","","Historical diagnostic/deploy tool not required by ordinary live runtime.","false","MOVED_TO_ARCHIVE"
"tools/mosaic-live-api-probe","archive/historical-tools/mosaic-live-api-probe","ARCHIVE_HISTORICAL_TOOL","True","993153","","Historical diagnostic/deploy tool not required by ordinary live runtime.","false","MOVED_TO_ARCHIVE"
"tools/mosaic-live-maga-runtime","tools/mosaic-live-maga-runtime","ACTIVE_RUNTIME_REQUIRED","True","5044426","","Kept active for runtime, documentation, regression data, or final evidence.","true","KEPT_ACTIVE_REQUIRED"
"tools/mosaic-live-state-layer","tools/mosaic-live-state-layer","ACTIVE_RUNTIME_REQUIRED","True","1680510","","Kept active for runtime, documentation, regression data, or final evidence.","true","KEPT_ACTIVE_REQUIRED"
"tools/mosaic-offline-exporter","archive/regression-tools/mosaic-offline-exporter","ARCHIVE_REGRESSION_TOOL","True","370443","","Regression/offline validation tool preserved outside active runtime path.","false","MOVED_TO_ARCHIVE"
"tools/replay-bootstrap-validation","archive/regression-tools/replay-bootstrap-validation","ARCHIVE_REGRESSION_TOOL","True","748723","","Regression/offline validation tool preserved outside active runtime path.","false","MOVED_TO_ARCHIVE"
"tools/snapshot-contract-validation","archive/regression-tools/snapshot-contract-validation","ARCHIVE_REGRESSION_TOOL","True","8664875","","Regression/offline validation tool preserved outside active runtime path.","false","MOVED_TO_ARCHIVE"
